#,TITLE,ARTIST,RELEASE,BPM,ENERGY,DANCE,LOUD,VALENCE,LENGTH,ACOUSTIC,POP.,RND,LIKE
179,Peach Pit,Peach Pit,6/27/18,124,80,52,-5,30,4:47,0,67,2983,1
180,Tommy's Party,Peach Pit,6/28/18,134,44,56,-9,21,6:02,12,67,7529,1
181,Alrighty Aphrodite,Peach Pit,6/28/18,82,72,53,-5,50,3:28,1,66,6133,1
182,Seventeen,Peach Pit,6/27/18,92,89,56,-5,81,3:36,1,61,9819,1
183,Drop the Guillotine,Peach Pit,6/28/18,88,88,51,-7,58,3:40,4,60,8689,1
184,Sweet FA,Peach Pit,6/27/18,145,50,57,-8,55,3:35,14,56,1581,1
185,Kalmia Kid,chloe moriondo,4/19/19,130,40,60,-9,46,4:00,49,58,1923,1
186,Kindergarten,chloe moriondo,1/10/20,120,28,69,-15,28,2:26,55,56,4461,1
187,Purple Honey,Strawberry Milk Cult,1/1/20,160,69,56,-12,33,4:24,90,34,771,1
188,$150 / roll widdit,Healy,12/17/15,151,41,67,-10,30,3:01,33,53,671,1
189,I'm Not Ok,Weathers,6/22/18,178,96,40,-3,54,3:01,1,58,4004,1
190,You Know It,Colony House,1/13/17,158,96,41,-3,57,3:02,4,58,9071,1
191,Habit,Still Woozy,12/12/19,125,39,77,-12,48,2:34,15,73,4847,1
192,Fuck You,Lily Allen,1/26/09,130,90,78,-4,84,3:40,3,58,7561,1
193,Sea Sick,binki,9/5/19,112,58,82,-9,93,2:11,12,58,7671,1
194,I Don't Love You Anymore,The Honeysticks,2/9/18,120,55,68,-9,65,3:45,15,52,8498,1
195,Best Tears,The Happy Fits,6/15/18,130,70,42,-4,68,2:39,11,50,4140,1
196,Lost in You,khai dreams,9/8/17,90,61,77,-12,79,1:41,33,71,4160,1
197,Goodie Bag,Still Woozy,11/5/17,138,52,74,-12,62,2:26,82,76,30,1
198,Aawake At Night,half•alive,4/24/17,63,73,59,-6,40,3:19,35,61,5074,1
199,Physical,Dua Lipa,1/30/20,147,84,65,-4,75,3:14,1,91,5158,1
200,Call Me (On the Phone),Dante Elephante,7/13/18,113,48,68,-10,50,4:05,0,36,7717,1
201,Me and Your Mama,Childish Gambino,12/2/16,118,43,53,-13,24,6:19,1,66,8208,1
202,From Time,Drake,1/1/13,94,49,74,-10,45,5:22,63,68,5547,1
203,Never Trust a Junkie,Dante Elephante,10/2/15,125,93,44,-6,78,2:30,34,31,5046,1
204,Shampoo Bottles,Peach Pit,1/24/20,107,44,65,-10,33,3:44,2,64,6213,1
205,Rare Attractions,Dante Elephante,7/13/18,76,57,65,-10,82,4:12,6,15,3871,1
206,How Can I,H 3 F,6/23/19,172,46,59,-12,51,4:29,76,49,3656,1
207,City Lights,H 3 F,11/23/19,86,54,56,-13,55,4:00,5,34,5282,1
208,All Your Love,H 3 F,11/23/19,91,52,54,-12,45,4:45,0,28,5724,1
209,Breezeblocks,alt-J,9/18/12,150,66,62,-7,29,3:47,10,72,7118,1
210,Cautionary Tales,Jon Bellion,11/9/18,94,55,58,-8,70,3:47,1,53,8416,1
211,Lost In Yesterday,Tame Impala,2/14/20,183,84,57,-4,75,4:10,3,77,9207,1
212,Sweet Tooth,Cavetown,2/14/20,140,31,57,-13,24,4:06,26,65,5255,1
213,Valentine,COIN,2/14/20,160,82,52,-7,61,3:14,0,58,3128,1
214,Ghost,Confetti,10/18/19,85,67,77,-5,71,2:49,0,63,6625,1
215,Telescope,Cavetown,2/14/20,105,29,67,-15,42,2:50,79,47,8112,1
216,Pumpin Blood,NONONO,2014,119,85,62,-4,41,3:29,0,57,4060,1
217,Mr Blue,Catherine Feeny,2006,166,39,46,-10,61,2:35,84,62,4845,1
218,Foreplay,Jalen Santoy,7/7/16,118,42,73,-6,51,2:54,12,66,1377,1
219,Coffee,Eric Reprid,6/25/17,93,53,90,-8,82,3:40,4,36,7856,1
220,Ghost Adventure Spirit Orb,chloe moriondo,2/21/20,143,21,51,-15,30,2:57,63,57,9704,1
221,Silly Girl,chloe moriondo,7/31/18,79,4,48,-23,13,3:19,94,64,3540,1
222,TWFNO,Tiffany Day,1/31/20,117,49,94,-8,66,2:48,12,53,3792,1
223,Money (Bedroom Mix),Zach Said,5/15/18,74,33,61,-9,59,3:18,88,18,3296,1
224,Work Song,Hozier,9/19/14,121,36,53,-8,26,3:50,75,68,1553,1
225,Craving,Zach Said,2/23/18,85,45,73,-8,65,2:48,56,35,8744,1
226,Like A Movie,Labrinth,11/22/19,120,55,89,-5,53,2:21,11,47,248,1
227,Summer,Paris Jones,10/8/13,90,67,65,-7,47,3:52,15,33,7101,1
228,COMMITMENT ISSUES,Tiffany Day,1/1/20,105,33,84,-13,55,2:47,86,57,90,1
229,I Want My Money Back!,Tiffany Day,5/3/19,165,34,71,-13,63,4:10,37,41,4878,1
230,Imogen,Nick Mulvey,9/8/17,87,58,49,-7,23,4:16,85,58,1030,1
231,Just Sayin',H 3 F,11/23/19,132,33,56,-14,23,4:22,38,44,161,1
232,Be Your Man,H 3 F,8/25/18,91,56,79,-9,46,3:53,47,44,7841,1
233,We Are Never Apart,Nick Mulvey,9/8/17,104,48,71,-8,60,4:34,68,55,5291,1
234,Cheapest Flight,PREP,1/1/16,80,65,68,-5,56,4:28,29,59,6931,1
235,Line by Line,PREP,11/9/18,93,49,83,-7,65,3:58,6,56,4075,1
236,Boredom,"Tyler, The Creator",7/12/17,80,58,56,-10,24,5:21,79,48,6240,1
237,Find My Own Way,GRiZ,4/5/19,86,65,71,-6,58,5:03,5,50,7174,1
238,99,Elliot Moss,4/28/17,131,44,61,-12,22,4:04,58,46,4979,1
239,Overthinker,INZO,7/23/18,128,61,47,-4,21,4:28,3,65,1757,1
240,fever dream - Shawn Wasabi remix,mxmtoon,3/5/20,102,94,65,-4,57,3:04,12,49,4194,1
241,fever dream,mxmtoon,1/23/20,102,69,57,-6,19,3:16,13,66,3291,1
242,Nikes On,Healy,3/5/20,83,31,83,-10,24,2:42,64,61,6955,1
243,Save Me From Myself (with NoMBe & Big Gigantic),Louis The Child,10/26/18,83,68,67,-5,39,3:32,2,62,8274,1
244,Summer's Gone,NoMBe,3/23/18,146,59,60,-10,18,3:34,11,60,4036,1
245,Wait,NoMBe,3/23/18,98,46,76,-8,19,3:34,22,61,2256,1
